01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Portugal,,T0 ou T1,,,,,2313
2011,Portugal,,T2,,,,,5827
2011,Portugal,,T3,,,,,12796
2011,Portugal,,T4 ou mais,,,,,5446
2011,Portugal,,Total,,,,,26382
2012,Portugal,,T0 ou T1,,,,,1717
2012,Portugal,,T2,,,,,4381
2012,Portugal,,T3,,,,,9225
2012,Portugal,,T4 ou mais,,,,,4361
2012,Portugal,,Total,,,,,19684
2013,Portugal,,T0 ou T1,,,,,1123
2013,Portugal,,T2,,,,,2845
2013,Portugal,,T3,,,,,5955
2013,Portugal,,T4 ou mais,,,,,2828
2013,Portugal,,Total,,,,,12751
2014,Portugal,,T0 ou T1,,,,,733
2014,Portugal,,T2,,,,,1832
2014,Portugal,,T3,,,,,3900
2014,Portugal,,T4 ou mais,,,,,1848
2014,Portugal,,Total,,,,,8313
2015,Portugal,,T0 ou T1,,,,,670
2015,Portugal,,T2,,,,,1509
2015,Portugal,,T3,,,,,3510
2015,Portugal,,T4 ou mais,,,,,1459
2015,Portugal,,Total,,,,,7148
2016,Portugal,,T0 ou T1,,,,,807
2016,Portugal,,T2,,,,,1681
2016,Portugal,,T3,,,,,4038
2016,Portugal,,T4 ou mais,,,,,1383
2016,Portugal,,Total,,,,,7909
2017,Portugal,,T0 ou T1,,,,,694
2017,Portugal,,T2,,,,,1541
2017,Portugal,,T3,,,,,4370
2017,Portugal,,T4 ou mais,,,,,1608
2017,Portugal,,Total,,,,,8213
2018,Portugal,,T0 ou T1,,,,,1020
2018,Portugal,,T2,,,,,2286
2018,Portugal,,T3,,,,,5577
2018,Portugal,,T4 ou mais,,,,,1868
2018,Portugal,,Total,,,,,10751
2019,Portugal,,T0 ou T1,,,,,1297
2019,Portugal,,T2,,,,,2749
2019,Portugal,,T3,,,,,6821
2019,Portugal,,T4 ou mais,,,,,2087
2019,Portugal,,Total,,,,,12954
2020,Portugal,,T0 ou T1,,,,,2019
2020,Portugal,,T2,,,,,3663
2020,Portugal,,T3,,,,,8595
2020,Portugal,,T4 ou mais,,,,,2646
2020,Portugal,,Total,,,,,16923
2021,Portugal,,T0 ou T1,,,,,2563
2021,Portugal,,T2,,,,,4525
2021,Portugal,,T3,,,,,9588
2021,Portugal,,T4 ou mais,,,,,2823
2021,Portugal,,Total,,,,,19499
2022,Portugal,,T0 ou T1,,,,,2690
2022,Portugal,,T2,,,,,5037
2022,Portugal,,T3,,,,,10166
2022,Portugal,,T4 ou mais,,,,,3072
2022,Portugal,,Total,,,,,20965
2023,Portugal,,T0 ou T1,,,,,3416
2023,Portugal,,T2,,,,,5998
2023,Portugal,,T3,,,,,10982
2023,Portugal,,T4 ou mais,,,,,3256
2023,Portugal,,Total,,,,,23652
2011,Abrantes,Município,T0 ou T1,,,,,0
2011,Abrantes,Município,T2,,,,,9
2011,Abrantes,Município,T3,,,,,38
2011,Abrantes,Município,T4 ou mais,,,,,15
2011,Abrantes,Município,Total,,,,,62
2011,Águeda,Município,T0 ou T1,,,,,0
2011,Águeda,Município,T2,,,,,7
2011,Águeda,Município,T3,,,,,51
2011,Águeda,Município,T4 ou mais,,,,,26
2011,Águeda,Município,Total,,,,,84
2011,Aguiar da Beira,Município,T0 ou T1,,,,,0
2011,Aguiar da Beira,Município,T2,,,,,6
2011,Aguiar da Beira,Município,T3,,,,,11
2011,Aguiar da Beira,Município,T4 ou mais,,,,,11
2011,Aguiar da Beira,Município,Total,,,,,28
2011,Alandroal,Município,T0 ou T1,,,,,0
2011,Alandroal,Município,T2,,,,,1
2011,Alandroal,Município,T3,,,,,5
2011,Alandroal,Município,T4 ou mais,,,,,3
2011,Alandroal,Município,Total,,,,,9
2011,Albergaria-a-Velha,Município,T0 ou T1,,,,,0
2011,Albergaria-a-Velha,Município,T2,,,,,3
2011,Albergaria-a-Velha,Município,T3,,,,,33
2011,Albergaria-a-Velha,Município,T4 ou mais,,,,,20
2011,Albergaria-a-Velha,Município,Total,,,,,56
2011,Albufeira,Município,T0 ou T1,,,,,117
2011,Albufeira,Município,T2,,,,,95
2011,Albufeira,Município,T3,,,,,53
2011,Albufeira,Município,T4 ou mais,,,,,19
2011,Albufeira,Município,Total,,,,,284
2011,Alcácer do Sal,Município,T0 ou T1,,,,,3
2011,Alcácer do Sal,Município,T2,,,,,5
2011,Alcácer do Sal,Município,T3,,,,,13
2011,Alcácer do Sal,Município,T4 ou mais,,,,,7
2011,Alcácer do Sal,Município,Total,,,,,28
2011,Alcanena,Município,T0 ou T1,,,,,1
2011,Alcanena,Município,T2,,,,,3
2011,Alcanena,Município,T3,,,,,10
2011,Alcanena,Município,T4 ou mais,,,,,4
2011,Alcanena,Município,Total,,,,,18
2011,Alcobaça,Município,T0 ou T1,,,,,6
2011,Alcobaça,Município,T2,,,,,42
2011,Alcobaça,Município,T3,,,,,107
2011,Alcobaça,Município,T4 ou mais,,,,,17
2011,Alcobaça,Município,Total,,,,,172
2011,Alcochete,Município,T0 ou T1,,,,,1
2011,Alcochete,Município,T2,,,,,7
2011,Alcochete,Município,T3,,,,,16
2011,Alcochete,Município,T4 ou mais,,,,,10
2011,Alcochete,Município,Total,,,,,34
2011,Alcoutim,Município,T0 ou T1,,,,,2
2011,Alcoutim,Município,T2,,,,,1
